"","1st_network","Region","cluster","Hub_consensus","freq"
"84","CON","Cingulum_Ant_L_5","23","Provincial",0.05263
"85","CON","Cingulum_Ant_L_5","23","Satellite",1e-05
"86","CON","Cingulum_Ant_L_5","56","Connector",0.99996
"87","CON","Cingulum_Ant_L_5","56","Isolate",1e-05
"88","CON","Cingulum_Ant_L_5","56","Peripheral",1e-05
"89","CON","Cingulum_Ant_L_5","56","Provincial",1e-05
"90","CON","Cingulum_Ant_L_5","56","Satellite",1e-05
"91","CON","Cingulum_Ant_R_2","23","Connector",0.81248375
"92","CON","Cingulum_Ant_R_2","23","Isolate",1e-05
"93","CON","Cingulum_Ant_R_2","23","Peripheral",0.06249875
"94","CON","Cingulum_Ant_R_2","23","Provincial",1e-05
"95","CON","Cingulum_Ant_R_2","23","Satellite",0.1249975
"96","CON","Cingulum_Ant_R_2","56","Connector",0.799976
"97","CON","Cingulum_Ant_R_2","56","Isolate",1e-05
"98","CON","Cingulum_Ant_R_2","56","Peripheral",1e-05
"99","CON","Cingulum_Ant_R_2","56","Provincial",0.199994
"100","CON","Cingulum_Ant_R_2","56","Satellite",1e-05
"101","SMN","Cingulum_Mid_L_1","23","Connector",0.785698571428571
"102","SMN","Cingulum_Mid_L_1","23","Isolate",1e-05
"103","SMN","Cingulum_Mid_L_1","23","Peripheral",0.142854285714286
"104","SMN","Cingulum_Mid_L_1","23","Provincial",1e-05
"105","SMN","Cingulum_Mid_L_1","23","Satellite",0.0714271428571429
"106","SMN","Cingulum_Mid_L_1","56","Connector",0.499985
"107","SMN","Cingulum_Mid_L_1","56","Isolate",1e-05
"108","SMN","Cingulum_Mid_L_1","56","Peripheral",1e-05
"109","SMN","Cingulum_Mid_L_1","56","Provincial",1e-05
"110","SMN","Cingulum_Mid_L_1","56","Satellite",0.499985
"111","CON","Cingulum_Mid_L_2","23","Connector",0.863610454545455
"112","CON","Cingulum_Mid_L_2","23","Isolate",1e-05
"113","CON","Cingulum_Mid_L_2","23","Peripheral",1e-05
"114","CON","Cingulum_Mid_L_2","23","Provincial",0.136359545454545
"115","CON","Cingulum_Mid_L_2","23","Satellite",1e-05
"116","CON","Cingulum_Mid_L_2","56","Connector",0.933305333333333
"117","CON","Cingulum_Mid_L_2","56","Isolate",1e-05
"118","CON","Cingulum_Mid_L_2","56","Peripheral",1e-05
"119","CON","Cingulum_Mid_L_2","56","Provincial",1e-05
"120","CON","Cingulum_Mid_L_2","56","Satellite",0.0666646666666667
"121","DMN","Cingulum_Mid_L_3","23","Connector",0.333326666666667
"122","DMN","Cingulum_Mid_L_3","23","Isolate",1e-05
"123","DMN","Cingulum_Mid_L_3","23","Peripheral",1e-05
"124","DMN","Cingulum_Mid_L_3","23","Provincial",0.266661333333333
"125","DMN","Cingulum_Mid_L_3","23","Satellite",0.399992
"126","DMN","Cingulum_Mid_L_3","56","Connector",0.461533846153846
"127","DMN","Cingulum_Mid_L_3","56","Isolate",1e-05
"128","DMN","Cingulum_Mid_L_3","56","Peripheral",0.153844615384615
"129","DMN","Cingulum_Mid_L_3","56","Provincial",0.153844615384615
"130","DMN","Cingulum_Mid_L_3","56","Satellite",0.230766923076923
"131","CON","Cingulum_Mid_R_3","23","Connector",0.956493043478261
"132","CON","Cingulum_Mid_R_3","23","Isolate",1e-05
"133","CON","Cingulum_Mid_R_3","23","Peripheral",0.0434769565217391
"134","CON","Cingulum_Mid_R_3","23","Provincial",1e-05
"135","CON","Cingulum_Mid_R_3","23","Satellite",1e-05
"136","CON","Cingulum_Mid_R_3","56","Connector",0.99996
"137","CON","Cingulum_Mid_R_3","56","Isolate",1e-05
"138","CON","Cingulum_Mid_R_3","56","Peripheral",1e-05
"139","CON","Cingulum_Mid_R_3","56","Provincial",1e-05
"140","CON","Cingulum_Mid_R_3","56","Satellite",1e-05
"141","DMN","Cingulum_Post_L","23","Connector",0.0833308333333333
"142","DMN","Cingulum_Post_L","23","Isolate",1e-05
"143","DMN","Cingulum_Post_L","23","Peripheral",1e-05
"144","DMN","Cingulum_Post_L","23","Provincial",0.916639166666667
"145","DMN","Cingulum_Post_L","23","Satellite",1e-05
"146","DMN","Cingulum_Post_L","56","Connector",0.333326666666667
"147","DMN","Cingulum_Post_L","56","Isolate",1e-05
"148","DMN","Cingulum_Post_L","56","Peripheral",0.333326666666667
"149","DMN","Cingulum_Post_L","56","Provincial",0.333326666666667
"150","DMN","Cingulum_Post_L","56","Satellite",1e-05
"151","DMN","Frontal_Inf_Orb_R_2","23","Connector",1e-05
"152","DMN","Frontal_Inf_Orb_R_2","23","Isolate",1e-05
"153","DMN","Frontal_Inf_Orb_R_2","23","Peripheral",0.099998
"154","DMN","Frontal_Inf_Orb_R_2","23","Provincial",0.49999
"155","DMN","Frontal_Inf_Orb_R_2","23","Satellite",0.399992
"156","DMN","Frontal_Inf_Orb_R_2","56","Connector",0.299994
"157","DMN","Frontal_Inf_Orb_R_2","56","Isolate",1e-05
"158","DMN","Frontal_Inf_Orb_R_2","56","Peripheral",0.299994
"159","DMN","Frontal_Inf_Orb_R_2","56","Provincial",1e-05
"160","DMN","Frontal_Inf_Orb_R_2","56","Satellite",0.399992
"161","Language","Frontal_Inf_Tri_L_1","23","Connector",0.894718947368421
"162","Language","Frontal_Inf_Tri_L_1","23","Isolate",1e-05
"163","Language","Frontal_Inf_Tri_L_1","23","Peripheral",1e-05
"164","Language","Frontal_Inf_Tri_L_1","23","Provincial",0.0526305263157895
"165","Language","Frontal_Inf_Tri_L_1","23","Satellite",0.0526305263157895
"166","Language","Frontal_Inf_Tri_L_1","56","Connector",0.846136923076923
