"","1st_network","Region","cluster","Bridgeness","freq"
"75","CON","Cingulum_Ant_R_2","23","Not_a_Bridge",0.5
"76","CON","Cingulum_Ant_R_2","23","Super_Bridge",0.0625
"77","CON","Cingulum_Ant_R_2","56","Global_Bridge",0.399996
"78","CON","Cingulum_Ant_R_2","56","Local_Bridge",1e-05
"79","CON","Cingulum_Ant_R_2","56","Not_a_Bridge",0.399996
"80","CON","Cingulum_Ant_R_2","56","Super_Bridge",0.199998
"81","SMN","Cingulum_Mid_L_1","23","Global_Bridge",0.142857142857143
"82","SMN","Cingulum_Mid_L_1","23","Local_Bridge",0.0714285714285714
"83","SMN","Cingulum_Mid_L_1","23","Not_a_Bridge",0.571428571428571
"84","SMN","Cingulum_Mid_L_1","23","Super_Bridge",0.214285714285714
"85","SMN","Cingulum_Mid_L_1","56","Global_Bridge",0.125
"86","SMN","Cingulum_Mid_L_1","56","Local_Bridge",0.125
"87","SMN","Cingulum_Mid_L_1","56","Not_a_Bridge",0.375
"88","SMN","Cingulum_Mid_L_1","56","Super_Bridge",0.375
"89","CON","Cingulum_Mid_L_2","23","Global_Bridge",0.545454545454545
"90","CON","Cingulum_Mid_L_2","23","Local_Bridge",0.0909090909090909
"91","CON","Cingulum_Mid_L_2","23","Not_a_Bridge",0.181818181818182
"92","CON","Cingulum_Mid_L_2","23","Super_Bridge",0.181818181818182
"93","CON","Cingulum_Mid_L_2","56","Global_Bridge",0.2
"94","CON","Cingulum_Mid_L_2","56","Local_Bridge",0.133333333333333
"95","CON","Cingulum_Mid_L_2","56","Not_a_Bridge",0.333333333333333
"96","CON","Cingulum_Mid_L_2","56","Super_Bridge",0.333333333333333
"97","DMN","Cingulum_Mid_L_3","23","Global_Bridge",0.133333333333333
"98","DMN","Cingulum_Mid_L_3","23","Local_Bridge",0.133333333333333
"99","DMN","Cingulum_Mid_L_3","23","Not_a_Bridge",0.2
"100","DMN","Cingulum_Mid_L_3","23","Super_Bridge",0.533333333333333
"101","DMN","Cingulum_Mid_L_3","56","Global_Bridge",0.230769230769231
"102","DMN","Cingulum_Mid_L_3","56","Local_Bridge",0.0769230769230769
"103","DMN","Cingulum_Mid_L_3","56","Not_a_Bridge",0.153846153846154
"104","DMN","Cingulum_Mid_L_3","56","Super_Bridge",0.538461538461538
"105","CON","Cingulum_Mid_R_3","23","Global_Bridge",0.347822608695652
"106","CON","Cingulum_Mid_R_3","23","Local_Bridge",1e-05
"107","CON","Cingulum_Mid_R_3","23","Not_a_Bridge",0.304344782608696
"108","CON","Cingulum_Mid_R_3","23","Super_Bridge",0.347822608695652
"109","CON","Cingulum_Mid_R_3","56","Global_Bridge",0.153844615384615
"110","CON","Cingulum_Mid_R_3","56","Local_Bridge",1e-05
"111","CON","Cingulum_Mid_R_3","56","Not_a_Bridge",0.153844615384615
"112","CON","Cingulum_Mid_R_3","56","Super_Bridge",0.692300769230769
"113","DMN","Cingulum_Post_L","23","Global_Bridge",0.2499975
"114","DMN","Cingulum_Post_L","23","Local_Bridge",1e-05
"115","DMN","Cingulum_Post_L","23","Not_a_Bridge",0.4166625
"116","DMN","Cingulum_Post_L","23","Super_Bridge",0.33333
"117","DMN","Cingulum_Post_L","56","Global_Bridge",1e-05
"118","DMN","Cingulum_Post_L","56","Local_Bridge",0.499995
"119","DMN","Cingulum_Post_L","56","Not_a_Bridge",0.166665
"120","DMN","Cingulum_Post_L","56","Super_Bridge",0.33333
"121","DMN","Frontal_Inf_Orb_R_2","23","Global_Bridge",0.1
"122","DMN","Frontal_Inf_Orb_R_2","23","Local_Bridge",0.3
"123","DMN","Frontal_Inf_Orb_R_2","23","Not_a_Bridge",0.2
"124","DMN","Frontal_Inf_Orb_R_2","23","Super_Bridge",0.4
"125","DMN","Frontal_Inf_Orb_R_2","56","Global_Bridge",1e-05
"126","DMN","Frontal_Inf_Orb_R_2","56","Local_Bridge",0.599994
"127","DMN","Frontal_Inf_Orb_R_2","56","Not_a_Bridge",0.099999
"128","DMN","Frontal_Inf_Orb_R_2","56","Super_Bridge",0.299997
"129","Language","Frontal_Inf_Tri_L_1","23","Global_Bridge",0.105263157894737
"130","Language","Frontal_Inf_Tri_L_1","23","Local_Bridge",0.0526315789473684
